Date;TA200;RH200;WV250;Precip100;LW100;
2023-01-21 14:50:00;-1.1;82.7;1.5;0;11.7;
2023-01-21 15:00:00;-1.1;82.9;1.3;0;11.5;
2023-01-21 15:10:00;-1;83;1.6;0;11.3;
2023-01-21 15:20:00;-0.8;82.6;2.5;0;10.9;
2023-01-21 15:30:00;-0.8;82.4;2.2;0;10.6;
2023-01-21 15:40:00;-0.7;82.4;2;0;10.4;
2023-01-21 15:50:00;-0.7;82.4;1.7;0;10.2;
2023-01-21 16:00:00;-0.7;82.1;2;0;10;
2023-01-21 16:10:00;-0.6;81.9;1.7;0;9.9;
2023-01-21 16:20:00;-0.7;82.2;1.3;0;10;
2023-01-21 16:30:00;-0.6;82;1.7;0;9.9;
2023-01-21 16:40:00;-0.6;81.9;1.7;0;10;
2023-01-21 16:50:00;-0.7;82.2;1.4;0;10.1;
2023-01-21 17:00:00;-0.6;82.3;1.1;0;10.2;
2023-01-21 17:10:00;-0.6;82.4;1.3;0;10.2;
2023-01-21 17:20:00;-0.6;82.4;1;0;10.2;
2023-01-21 17:30:00;-0.6;82.4;1.1;0;10.2;
2023-01-21 17:40:00;-0.6;82.6;0.8;0;10.3;
2023-01-21 17:50:00;-0.8;83.8;1;0;11;
2023-01-21 18:00:00;-0.6;83.5;1.3;0;10.4;
2023-01-21 18:10:00;-0.6;83;1.4;0;10.3;
2023-01-21 18:20:00;-0.6;82.9;1.5;0;10.4;
2023-01-21 18:30:00;-0.5;82.8;1.4;0;10.4;
2023-01-21 18:40:00;-0.6;83.3;0.7;0;10.6;
2023-01-21 18:50:00;-0.7;83.8;0.9;0;11;
2023-01-21 19:00:00;-0.6;83.3;1.3;0;10.5;
2023-01-21 19:10:00;-0.4;82.9;1.5;0;10.2;
2023-01-21 19:20:00;-0.4;82.3;1.3;0;10.2;
2023-01-21 19:30:00;-0.5;82.9;1.1;0;10.9;
2023-01-21 19:40:00;-0.4;82.9;1.6;0;10.5;
2023-01-21 19:50:00;-0.6;82.4;1.2;0;11.2;
2023-01-21 20:00:00;-0.8;83.7;1;0;12;
2023-01-21 20:10:00;-0.8;83.7;0.6;0;12.4;
2023-01-21 20:20:00;-0.8;83.8;0.9;0;11.9;
2023-01-21 20:30:00;-0.9;84;0.9;0;11.7;
2023-01-21 20:40:00;-0.7;84;1;0;10.6;
2023-01-21 20:50:00;-0.7;83.3;1.2;0;11;
2023-01-21 21:00:00;-0.8;83.5;0.9;0;11.2;
2023-01-21 21:10:00;-1;84.7;1.1;0;11.8;
2023-01-21 21:20:00;-0.7;83.7;1;0;11;
2023-01-21 21:30:00;-0.7;83.3;1.2;0;10.6;
2023-01-21 21:40:00;-0.8;83.7;1.1;0;11.3;
2023-01-21 21:50:00;-0.9;84.4;1;0;11.5;
2023-01-21 22:00:00;-0.5;83.6;2.6;0;10.2;
2023-01-21 22:10:00;-0.4;82.3;2.1;0;10.2;
2023-01-21 22:20:00;-0.6;83;1.3;0;10.8;
2023-01-21 22:30:00;-0.5;83.2;1.3;0;10.6;
2023-01-21 22:40:00;-0.4;82.7;1.9;0;10.3;
2023-01-21 22:50:00;-0.3;82.1;1.7;0;10.1;
2023-01-21 23:00:00;-0.2;82.2;1.8;0;10;
2023-01-21 23:10:00;-0.2;82;1.6;0;10;
2023-01-21 23:20:00;-0.1;82;1.2;0;10.2;
2023-01-21 23:30:00;-0.1;81.7;1.1;0;10;
