Date;TA200;RH200;WV250;Precip100;LW100;
2023-01-21 14:50:00;-0.5;84.2;1.4;0;11.5;
2023-01-21 15:00:00;-0.5;84.5;2.1;0;11.6;
2023-01-21 15:10:00;-0.4;84.8;1.4;0;11.4;
2023-01-21 15:20:00;-0.4;84.6;1;0.1;11.2;
2023-01-21 15:30:00;-0.3;83.6;1;0.1;11.1;
2023-01-21 15:40:00;-0.4;83.7;0.8;0;11.3;
2023-01-21 15:50:00;-0.2;84.3;1.3;0.1;11.6;
2023-01-21 16:00:00;-0.3;84.2;1.1;0;11.8;
2023-01-21 16:10:00;-0.3;83.9;0.9;0;11.8;
2023-01-21 16:20:00;-0.3;84.6;1.3;0;12.2;
2023-01-21 16:30:00;-0.3;85.4;0.9;0;12.6;
2023-01-21 16:40:00;-0.3;85.6;0.7;0;12.8;
2023-01-21 16:50:00;-0.3;86.1;0.8;0.1;13.4;
2023-01-21 17:00:00;-0.3;86.3;0.6;0;13.4;
2023-01-21 17:10:00;-0.3;86;0.8;0;14;
2023-01-21 17:20:00;-0.3;85.8;1.2;0;13.2;
2023-01-21 17:30:00;-0.3;85.5;0.8;0;13.3;
2023-01-21 17:40:00;-0.3;86.4;0.8;0;14;
2023-01-21 17:50:00;-0.3;87.1;0.7;0;14.6;
2023-01-21 18:00:00;-0.3;86.9;0.9;0;13.5;
2023-01-21 18:10:00;-0.2;86.3;0.9;0;13.8;
2023-01-21 18:20:00;-0.3;86.7;0.4;0;14.5;
2023-01-21 18:30:00;-0.3;87.5;0.5;0;14.8;
2023-01-21 18:40:00;-0.3;87.6;0.6;0;14.6;
2023-01-21 18:50:00;-0.3;87.4;0.8;0;14.3;
2023-01-21 19:00:00;-0.3;87.3;0.7;0;14.9;
2023-01-21 19:10:00;-0.4;87.6;0.3;0;15.5;
2023-01-21 19:20:00;-0.3;87.5;0.7;0;14.6;
2023-01-21 19:30:00;-0.3;87.2;1;0;14.8;
2023-01-21 19:40:00;-0.4;87.7;0.6;0;16.2;
2023-01-21 19:50:00;-0.5;87.9;0.8;0;18.2;
2023-01-21 20:00:00;-0.7;88;1.1;0;18.6;
2023-01-21 20:10:00;-0.8;88.5;1;0;20.1;
2023-01-21 20:20:00;-0.9;88.6;0.9;0;21.4;
2023-01-21 20:30:00;-0.9;88.6;0.8;0;19;
2023-01-21 20:40:00;-0.9;88.9;0.6;0;18.2;
2023-01-21 20:50:00;-0.8;88.9;0.9;0;17.6;
2023-01-21 21:00:00;-0.9;89.1;0.5;0;19;
2023-01-21 21:10:00;-0.8;89.1;0.8;0;17.2;
2023-01-21 21:20:00;-0.9;88.4;0.8;0;18.7;
2023-01-21 21:30:00;-0.9;88.3;1.3;0;17;
2023-01-21 21:40:00;-0.8;87.8;1;0;16.7;
2023-01-21 21:50:00;-0.8;87.9;1;0;17.4;
2023-01-21 22:00:00;-0.8;88.3;1.1;0;16.2;
2023-01-21 22:10:00;-0.7;87.9;0.7;0;16.2;
2023-01-21 22:20:00;-0.8;88.5;0.4;0;20;
2023-01-21 22:30:00;-0.8;89.5;0.6;0;17.6;
2023-01-21 22:40:00;-0.6;89.4;0.8;0;16.8;
2023-01-21 22:50:00;-0.6;89;0.9;0;16.2;
2023-01-21 23:00:00;-0.5;88.3;0.9;0;15;
