Date;TA200;RH200;WV250;Precip100;LW100;
2023-01-21 14:50:00;-0.3;89;1.1;0;16.6;
2023-01-21 15:00:00;-0.4;89.5;1.4;0;16.7;
2023-01-21 15:10:00;-0.3;89.1;1.4;0;16.6;
2023-01-21 15:20:00;-0.2;88.3;1.6;0;16.4;
2023-01-21 15:30:00;-0.2;88.2;1.2;0;16.4;
2023-01-21 15:40:00;-0.1;87.8;0.9;0.1;16.4;
2023-01-21 15:50:00;-0.1;88.2;0.6;0;16.4;
2023-01-21 16:00:00;0;87.7;1.4;0;16.4;
2023-01-21 16:10:00;0;87.7;0.9;0.1;16.6;
2023-01-21 16:20:00;0.1;87.9;1.2;0;16.8;
2023-01-21 16:30:00;0.1;87.4;0.9;0;16.8;
2023-01-21 16:40:00;0;88.3;1.3;0;17.2;
2023-01-21 16:50:00;-0.1;88.5;0.7;0;17.8;
2023-01-21 17:00:00;-0.2;89.6;0.7;0;18.5;
2023-01-21 17:10:00;-0.3;89.3;1;0;18.3;
2023-01-21 17:20:00;-0.2;89;0.7;0;18.4;
2023-01-21 17:30:00;-0.2;90.3;0.5;0;19.4;
2023-01-21 17:40:00;-0.3;91;0.8;0;19;
2023-01-21 17:50:00;-0.2;91;0.4;0;19.5;
2023-01-21 18:00:00;-0.2;92;0.6;0;20;
2023-01-21 18:10:00;-0.3;92.3;0.6;0;20;
2023-01-21 18:20:00;-0.2;92;0.7;0;20.8;
2023-01-21 18:30:00;-0.3;93.4;0.5;0;22.2;
2023-01-21 18:40:00;-0.2;92.1;0.5;0;21.8;
2023-01-21 18:50:00;-0.2;93.2;0.6;0;22.3;
2023-01-21 19:00:00;-0.3;93.3;0.5;0;22.8;
2023-01-21 19:10:00;-0.2;93.2;0.7;0;21;
2023-01-21 19:20:00;-0.1;90.9;0.3;0;20.6;
2023-01-21 19:30:00;-0.2;91.6;0.5;0;22.6;
2023-01-21 19:40:00;-0.3;93.1;0.4;0;22.3;
2023-01-21 19:50:00;-0.2;90.6;0.6;0;21;
2023-01-21 20:00:00;-0.3;90.5;0.6;0;22.6;
2023-01-21 20:10:00;-0.6;91.7;0.8;0;25.8;
2023-01-21 20:20:00;-0.9;94.9;0.9;0;30.2;
2023-01-21 20:30:00;-0.9;94.9;0.7;0;28.1;
2023-01-21 20:40:00;-0.9;94.4;0.7;0;26.6;
2023-01-21 20:50:00;-0.9;94.6;0.6;0;28.2;
2023-01-21 21:00:00;-0.7;93.1;0.7;0;23.4;
2023-01-21 21:10:00;-0.7;90.7;0.7;0;22;
2023-01-21 21:20:00;-0.5;89.6;0.7;0;22.9;
2023-01-21 21:30:00;-0.8;90.4;0.7;0;25.6;
2023-01-21 21:40:00;-1.1;94.5;0.9;0;32.8;
2023-01-21 21:50:00;-1.2;96;0.7;0;28.6;
2023-01-21 22:00:00;-1.1;96.9;0.7;0;26.8;
2023-01-21 22:10:00;-1;95.2;0.4;0;25.2;
2023-01-21 22:20:00;-0.8;94.4;0.5;0;24.3;
2023-01-21 22:30:00;-0.5;93.3;0.8;0;23.2;
2023-01-21 22:40:00;-0.2;90.7;1;0;22.3;
2023-01-21 22:50:00;-0.2;91.6;0.7;0;22.8;
2023-01-21 23:00:00;-0.1;91.3;0.9;0;22.2;
2023-01-21 23:10:00;0.2;90.2;1.7;0;21.1;
2023-01-21 23:20:00;0.5;88.7;1.4;0;21;
2023-01-21 23:30:00;0.5;88.8;1.6;0;21;
2023-01-21 23:40:00;0.5;88.7;1.5;0;20.8;
2023-01-21 23:50:00;0.6;88.3;1.9;0;20.6;
2023-01-22 00:00:00;0.6;88.7;1.5;0;20.8;
2023-01-22 00:10:00;0.6;89.1;1.5;0;20.9;
2023-01-22 00:20:00;0.6;89.4;1.3;0;21;
2023-01-22 00:30:00;0.7;89;1.7;0;20.6;
2023-01-22 00:40:00;0.7;89;1.7;0;20.8;
2023-01-22 00:50:00;0.7;90.6;2.4;0;44;
2023-01-22 01:00:00;0.3;97.6;1.3;0;89.8;
2023-01-22 01:10:00;0.1;100;0.9;0;100;
2023-01-22 01:20:00;-0.1;100;0.5;0;100;
2023-01-22 01:30:00;-0.2;100;0.4;0;100;
2023-01-22 01:40:00;-0.3;100;0.3;0;100;
2023-01-22 01:50:00;-0.3;100;0.3;0;100;
2023-01-22 02:00:00;-0.3;100;0.1;0;100;
2023-01-22 02:10:00;-0.4;100;0.1;0;100;
2023-01-22 02:20:00;-0.4;100;0.3;0;100;
2023-01-22 02:30:00;-0.5;100;0.7;0;100;
2023-01-22 02:40:00;-0.4;100;0.9;0;100;
2023-01-22 02:50:00;-0.4;100;0.7;0;100;
2023-01-22 03:00:00;-0.2;100;0.5;0;100;
2023-01-22 03:10:00;-0.2;100;0.5;0;100;
2023-01-22 03:20:00;-0.2;100;0.4;0;100;
2023-01-22 03:30:00;-0.2;100;0.6;0;100;
2023-01-22 03:40:00;-0.2;100;0.6;0;100;
2023-01-22 03:50:00;-0.1;100;0.6;0;100;
2023-01-22 04:00:00;-0.1;100;0.8;0;100;
2023-01-22 04:10:00;0.1;100;0.9;0;100;
2023-01-22 04:20:00;0.1;100;1.1;0;100;
2023-01-22 04:30:00;0.1;100;1.4;0;100;
2023-01-22 04:40:00;0.2;100;1.5;0;100;
2023-01-22 04:50:00;0.2;100;1.2;0;100;
2023-01-22 05:00:00;0.2;99.4;1.1;0;100;
2023-01-22 05:10:00;0.2;99.3;0.9;0;100;
2023-01-22 05:20:00;0.2;99;1;0;100;
2023-01-22 05:30:00;0.2;98.2;1.1;0;100;
2023-01-22 05:40:00;0.2;97.8;0.9;0;100;
2023-01-22 05:50:00;0.2;98;0.9;0;100;
2023-01-22 06:00:00;0.3;97.6;1;0;100;
2023-01-22 06:10:00;0.3;97.3;0.9;0;100;
2023-01-22 06:20:00;0.3;97;0.9;0;100;
2023-01-22 06:30:00;0.4;96.1;0.8;0;100;
2023-01-22 06:40:00;0.4;96.2;0.8;0;100;
2023-01-22 06:50:00;0.4;96.4;1;0;100;
2023-01-22 07:00:00;0.4;96.3;1.1;0;100;
2023-01-22 07:10:00;0.4;96.4;0.9;0;100;
2023-01-22 07:20:00;0.5;96.4;1.3;0;100;
2023-01-22 07:30:00;0.4;96.5;1.1;0;100;
2023-01-22 07:40:00;0.5;96.4;1.4;0;100;
2023-01-22 07:50:00;0.5;95.8;1.6;0;100;
2023-01-22 08:00:00;0.5;95.4;1.5;0;100;
2023-01-22 08:10:00;0.5;95.6;1.1;0;100;
2023-01-22 08:20:00;0.5;96.1;1;0;100;
2023-01-22 08:30:00;0.5;96.4;1.1;0;100;
2023-01-22 08:40:00;0.5;97.1;1.2;0;100;
2023-01-22 08:50:00;0.6;96.6;1;0;100;
