Date;TA200;RH200;WV250;Precip100;LW100;
2023-01-21 14:50:00;-0.4;83.8;1.1;0;17.5;
2023-01-21 15:00:00;-0.3;83.2;2.9;0;17.3;
2023-01-21 15:10:00;-0.3;82.7;2.1;0;17.1;
2023-01-21 15:20:00;-0.2;82.6;2;0;16.9;
2023-01-21 15:30:00;-0.2;82.5;1.3;0;16.8;
2023-01-21 15:40:00;-0.1;82.5;1.7;0;16.8;
2023-01-21 15:50:00;-0.1;82.5;1.8;0;16.8;
2023-01-21 16:00:00;0;82.6;1.6;0;16.8;
2023-01-21 16:10:00;-0.1;82.5;1.4;0;16.8;
2023-01-21 16:20:00;-0.1;82.8;0.3;0;17;
2023-01-21 16:30:00;-0.2;83.9;0;0;17.9;
2023-01-21 16:40:00;-0.1;84.1;0.1;0;17.6;
2023-01-21 16:50:00;-0.1;83.3;0.2;0;17.6;
2023-01-21 17:00:00;-0.1;83.6;0.1;0;17.6;
2023-01-21 17:10:00;-0.2;83.3;0.4;0;17.9;
2023-01-21 17:20:00;-0.3;83.9;0.1;0;18;
2023-01-21 17:30:00;-0.3;83.9;0.3;0;17.8;
2023-01-21 17:40:00;-0.3;84.1;0.7;0;17.9;
2023-01-21 17:50:00;-0.3;83.7;0.2;0;17.7;
2023-01-21 18:00:00;-0.3;84;0.1;0;17.8;
2023-01-21 18:10:00;-0.2;85.4;0.2;0;19;
2023-01-21 18:20:00;-0.3;85;0.1;0;18;
2023-01-21 18:30:00;-0.3;85.2;0.3;0;18.5;
2023-01-21 18:40:00;-0.2;84.9;0.8;0;18;
2023-01-21 18:50:00;-0.3;85.3;0.7;0;18.6;
2023-01-21 19:00:00;-0.3;86.4;1.2;0;19.1;
2023-01-21 19:10:00;-0.3;86.3;0.7;0;18.4;
2023-01-21 19:20:00;-0.3;85.6;0.2;0;18.4;
2023-01-21 19:30:00;-0.3;86.1;0.4;0;18.6;
2023-01-21 19:40:00;-0.3;86.1;0;0;19.5;
2023-01-21 19:50:00;-0.4;86.7;0;0;20.3;
2023-01-21 20:00:00;-0.5;86.1;0;0;21.4;
2023-01-21 20:10:00;-0.6;88.1;0.1;0;28.3;
2023-01-21 20:20:00;-0.7;88.1;0.4;0;22.2;
2023-01-21 20:30:00;-0.8;87.8;0;0;30.5;
2023-01-21 20:40:00;-0.9;89.5;0.2;0;29.5;
2023-01-21 20:50:00;-0.9;90.4;0.6;0;28.6;
2023-01-21 21:00:00;-0.8;89.3;0.9;0;21.4;
2023-01-21 21:10:00;-0.6;86.7;0.7;0;20.6;
2023-01-21 21:20:00;-0.7;86.4;0.7;0;21.1;
2023-01-21 21:30:00;-0.8;86.2;0.9;0;20.7;
2023-01-21 21:40:00;-0.8;86.5;0.8;0;20.7;
2023-01-21 21:50:00;-0.8;85.9;0.8;0;20.4;
2023-01-21 22:00:00;-0.8;86.6;0.7;0;20.4;
2023-01-21 22:10:00;-0.7;86.5;0.7;0;20.3;
2023-01-21 22:20:00;-0.6;86.2;0.6;0;19.7;
2023-01-21 22:30:00;-0.6;86.8;0.3;0;20.4;
2023-01-21 22:40:00;-0.5;86.8;1.1;0;19.8;
2023-01-21 22:50:00;-0.4;85.5;0.6;0;18.7;
2023-01-21 23:00:00;-0.3;86.1;0.3;0;21;
2023-01-21 23:10:00;-0.2;86.4;0.2;0;19;
2023-01-21 23:20:00;-0.2;85.8;0.4;0;19.4;
2023-01-21 23:30:00;0.1;84.5;2.2;0;17.8;
2023-01-21 23:40:00;0.3;82.5;2.2;0;17.4;
2023-01-21 23:50:00;0.4;82.5;1.7;0;17.5;
2023-01-22 00:00:00;0.4;83.3;1.6;0;17.7;
2023-01-22 00:10:00;0.4;83.1;2;0;17.7;
2023-01-22 00:20:00;0.4;83;1.7;0;17.7;
2023-01-22 00:30:00;0.4;83.5;1.1;0;18.1;
2023-01-22 00:40:00;0.4;84.1;1.2;0;18;
2023-01-22 00:50:00;0.4;84.6;1.4;0;27.1;
2023-01-22 01:00:00;0;88.8;0.6;0;77.2;
2023-01-22 01:10:00;-0.3;92.2;0.3;0;96.2;
2023-01-22 01:20:00;-0.4;94;0.1;0;100;
2023-01-22 01:30:00;-0.4;94.8;0.1;0;100;
2023-01-22 01:40:00;-0.5;95.4;0.2;0;100;
2023-01-22 01:50:00;-0.4;95.7;0.1;0;100;
2023-01-22 02:00:00;-0.4;95.9;0.2;0;100;
2023-01-22 02:10:00;-0.3;95.9;0.1;0;100;
2023-01-22 02:20:00;-0.4;95.3;0;0;100;
2023-01-22 02:30:00;-0.3;94.6;0.2;0;100;
2023-01-22 02:40:00;-0.3;93.7;0.4;0;100;
2023-01-22 02:50:00;-0.2;92.7;0.2;0;100;
2023-01-22 03:00:00;-0.2;91.9;0;0;100;
2023-01-22 03:10:00;-0.2;91.5;0.2;0;100;
2023-01-22 03:20:00;-0.1;91.2;0.2;0;100;
2023-01-22 03:30:00;-0.1;90.8;0.5;0;100;
2023-01-22 03:40:00;0;90.3;0.3;0;100;
2023-01-22 03:50:00;0;90;0.5;0;100;
2023-01-22 04:00:00;0;90;0.5;0;100;
2023-01-22 04:10:00;0.1;89.6;0.5;0;100;
2023-01-22 04:20:00;0;89.6;0.4;0;100;
2023-01-22 04:30:00;0;89.6;0.4;0;100;
2023-01-22 04:40:00;0;89.3;0.6;0;100;
2023-01-22 04:50:00;0.1;89.2;0.8;0;100;
2023-01-22 05:00:00;0.1;89;0.7;0;100;
2023-01-22 05:10:00;0.1;89.1;0.6;0;100;
2023-01-22 05:20:00;0.1;89;0.7;0;100;
2023-01-22 05:30:00;0.2;88.8;0.7;0;100;
2023-01-22 05:40:00;0.2;88.9;0.4;0;100;
2023-01-22 05:50:00;0.2;89.5;0.8;0;100;
2023-01-22 06:00:00;0.3;89;1.2;0;100;
2023-01-22 06:10:00;0.3;88.5;0.5;0;100;
2023-01-22 06:20:00;0.3;88;0.6;0;100;
2023-01-22 06:30:00;0.3;88.2;0.7;0;100;
2023-01-22 06:40:00;0.3;88.4;1;0;100;
2023-01-22 06:50:00;0.3;88.3;0.9;0;100;
2023-01-22 07:00:00;0.3;88.7;0.7;0;100;
2023-01-22 07:10:00;0.3;88.7;0.7;0;100;
2023-01-22 07:20:00;0.3;88.2;1.3;0;100;
2023-01-22 07:30:00;0.4;88.1;1.4;0;100;
2023-01-22 07:40:00;0.4;88.2;0.8;0;100;
2023-01-22 07:50:00;0.4;88.1;0.4;0;99.9;
2023-01-22 08:00:00;0.4;87.6;0.3;0;97.2;
2023-01-22 08:10:00;0.4;87.7;0.1;0;98.4;
2023-01-22 08:20:00;0.4;87.9;0.2;0;100;
2023-01-22 08:30:00;0.4;87.7;0.4;0;100;
2023-01-22 08:40:00;0.4;88.5;0.7;0;100;
2023-01-22 08:50:00;0.4;88.7;0.2;0;100;
2023-01-22 09:00:00;0.4;88.9;0.2;0;99.8;
2023-01-22 09:10:00;0.5;88.5;0.1;0;100;
2023-01-22 09:20:00;0.5;88.2;0;0;100;
2023-01-22 09:30:00;0.5;88.6;0.1;0;100;
2023-01-22 09:40:00;0.6;88.7;0.1;0;100;
2023-01-22 09:50:00;0.6;88.9;0;0;100;
2023-01-22 10:00:00;0.6;88.7;0;0;100;
2023-01-22 10:10:00;0.7;88.7;0;0;100;
2023-01-22 10:20:00;0.7;88.8;0;0;100;
2023-01-22 10:30:00;0.7;88.8;0.3;0;100;
2023-01-22 10:40:00;0.7;88.6;0.1;0;100;
2023-01-22 10:50:00;0.8;88;0.4;0;100;
2023-01-22 11:00:00;0.9;88.2;0.5;0;99.1;
2023-01-22 11:10:00;1;88.2;0.4;0;84.1;
2023-01-22 11:20:00;1;88.3;0.5;0;66.6;
2023-01-22 11:30:00;1.1;88;0.3;0;55.8;
2023-01-22 11:40:00;1.1;88.2;0.1;0.1;55.9;
2023-01-22 11:50:00;1.1;87.8;0.5;0;54.2;
2023-01-22 12:00:00;1.2;87.2;0.8;0;53.6;
2023-01-22 12:10:00;1.3;86.9;0.5;0;53.8;
2023-01-22 12:20:00;1.2;86.9;0.5;0;62.3;
2023-01-22 12:30:00;1.3;87.2;0.7;0;77.8;
2023-01-22 12:40:00;1.3;86.9;1.2;0;80.1;
2023-01-22 12:50:00;1.3;87.4;0.9;0;79.7;
2023-01-22 13:00:00;1.2;87.7;1.1;0;75.9;
2023-01-22 13:10:00;1.3;87.5;1.1;0.1;65.8;
2023-01-22 13:20:00;1.3;87.6;1.1;0.1;91.4;
2023-01-22 13:30:00;1.3;87.2;1.3;0.2;86.6;
2023-01-22 13:40:00;1.3;87.1;0.6;0.1;78.4;
2023-01-22 13:50:00;1.4;86.7;1;0.2;81.2;
2023-01-22 14:00:00;1.4;86.5;0.8;0.1;90.5;
2023-01-22 14:10:00;1.4;86.5;1;0.1;88.9;
2023-01-22 14:20:00;1.4;86.5;1.2;0.2;84.4;
2023-01-22 14:30:00;1.4;86.5;0.4;0.1;76.3;
2023-01-22 14:40:00;1.4;86.7;1;0.1;76.4;
2023-01-22 14:50:00;1.4;86.7;1.1;0.2;75.6;
2023-01-22 15:00:00;1.4;86.4;1.1;0.1;61;
2023-01-22 15:10:00;1.4;86.2;0.6;0;37.4;
2023-01-22 15:20:00;1.4;86.6;0.5;0.1;35.5;
2023-01-22 15:30:00;1.4;86.4;0.7;0.2;33.3;
2023-01-22 15:40:00;1.2;87.6;0.8;0;84.6;
2023-01-22 15:50:00;1.3;88.1;0.6;0.1;86.3;
2023-01-22 16:00:00;1.3;87.9;0.8;0;87.1;
2023-01-22 16:10:00;1.3;88.4;0.3;0;92.1;
2023-01-22 16:20:00;1.3;88.8;0.1;0;93.2;
2023-01-22 16:30:00;1.3;88.8;0;0;89.4;
2023-01-22 16:40:00;1.3;88.5;0.1;0.1;68.4;
2023-01-22 16:50:00;1.2;88.8;0.1;0;61.1;
2023-01-22 17:00:00;1.3;88.2;0.4;0.1;59.8;
2023-01-22 17:10:00;1.2;88.3;0.1;0;60.6;
2023-01-22 17:20:00;1.2;88.3;0;0;61.9;
2023-01-22 17:30:00;1.2;88.6;0.1;0;61.4;
2023-01-22 17:40:00;1.2;88.9;0.2;0;34.3;
2023-01-22 17:50:00;1.2;88.6;0.2;0;27.8;
2023-01-22 18:00:00;1.2;88.3;0;0;26.9;
2023-01-22 18:10:00;1.2;88.3;0;0;28.4;
2023-01-22 18:20:00;1.1;89.4;0;0;30.3;
2023-01-22 18:30:00;1.1;89.6;0.2;0;29.5;
2023-01-22 18:40:00;1.1;89.5;0;0;30;
2023-01-22 18:50:00;1.1;89.9;0;0;38.2;
2023-01-22 19:00:00;1;91.3;0;0;42.7;
2023-01-22 19:10:00;1;91.9;0;0.1;37.2;
2023-01-22 19:20:00;1;91.5;0;0;35.8;
2023-01-22 19:30:00;1;91.6;0;0;39.4;
2023-01-22 19:40:00;0.9;92.2;0;0;44;
2023-01-22 19:50:00;0.9;92.4;0;0;50;
